id,vader_compound_new,vader_pos_new,vader_neg_new,vader_neu_new,finbert_bull_new,finbert_bear_new,finbert_neu_new,finbert_dir_new,hybrid_sentiment_new
6hkspg,0.0,0.0,0.0,1.0,0.036229078,0.17973906,0.78403187,-0.14350998,-0.07175499200820923
6hkst5,0.963,0.103,0.022,0.875,0.019469768,0.031445388,0.9490849,-0.01197562,0.47551219002902506
6hlf8x,0.977,0.298,0.061,0.641,0.03692448,0.052738804,0.91033673,-0.015814323,0.4805928385108709
6howa5,0.2755,0.19,0.0,0.81,0.021533992,0.09249255,0.8859735,-0.070958555,0.10227072262763978
6hpgy5,0.0,0.0,0.0,1.0,0.071077615,0.15382557,0.7750968,-0.08274795,-0.041373975574970245
6hsc48,0.77,0.149,0.096,0.755,0.022140427,0.08747133,0.8903883,-0.0653309,0.3523345498740673
6hsles,0.0,0.0,0.0,1.0,0.044753686,0.022826824,0.9324195,0.021926861,0.010963430628180504
6huazt,0.0,0.0,0.0,1.0,0.033810727,0.02925194,0.93693733,0.0045587867,0.0022793933749198914
6hve9n,0.0,0.0,0.0,1.0,0.07287871,0.026188167,0.9009331,0.046690546,0.02334527298808098
6hxkhv,0.0,0.0,0.0,1.0,0.059761763,0.024320621,0.9159176,0.03544114,0.017720570787787437
6i1z2j,0.0,0.0,0.0,1.0,0.01938237,0.51851815,0.46209952,-0.4991358,-0.2495678961277008
6i79j2,0.0,0.0,0.0,1.0,0.035666633,0.060015704,0.9043177,-0.024349071,-0.012174535542726517
6i95bl,0.0,0.0,0.0,1.0,0.03457603,0.025016928,0.940407,0.0095591005,0.00477955024689436
6ifwc8,0.8494,0.169,0.086,0.744,0.045486674,0.31462294,0.6398904,-0.26913625,0.2901318749904633
6ig1wj,-0.4588,0.0,0.231,0.769,0.024486339,0.7105514,0.2649623,-0.686065,-0.5724325090885163
6igopz,0.0,0.0,0.0,1.0,0.17636353,0.1392026,0.6844338,0.037160933,0.018580466508865356
6igy39,0.9241,0.13,0.034,0.836,0.26650253,0.056276377,0.67722106,0.21022615,0.5671630741834641
6ihyj1,0.9708,0.1,0.078,0.822,0.17513269,0.01862221,0.8062452,0.15651049,0.5636552435994149
6ijmz2,0.952,0.167,0.07,0.763,0.06286408,0.2965106,0.6406253,-0.23364653,0.3591767365336418
6imkui,0.2023,0.138,0.103,0.759,0.07643433,0.009617335,0.9139483,0.06681699,0.13455849652886392
6imsot,-0.7311,0.098,0.156,0.746,0.048351355,0.13355795,0.8180907,-0.08520659,-0.4081532952964306
6inh8v,0.0,0.0,0.0,1.0,0.032378852,0.045867316,0.9217538,-0.013488464,-0.006744232028722763
6iofqf,-0.34,0.0,0.444,0.556,0.107857026,0.05895251,0.8331905,0.048904516,-0.14554774209856988
6ipent,0.0,0.0,0.0,1.0,0.027346076,0.25087172,0.7217822,-0.22352564,-0.11176282167434692
6ipune,0.296,0.177,0.116,0.707,0.1499618,0.018530658,0.8315076,0.13143115,0.21371557372808456
6ipxf3,-0.4404,0.0,0.326,0.674,0.11602375,0.37526715,0.5087091,-0.2592434,-0.3498216994524002
6iskt9,0.0,0.0,0.0,1.0,0.0437375,0.2348154,0.7214471,-0.1910779,-0.09553895145654678
6isodb,-0.1027,0.0,0.189,0.811,0.032635372,0.11757948,0.84978515,-0.084944114,-0.09382205704450608
6it9f0,0.0,0.0,0.0,1.0,0.023424467,0.063959286,0.91261613,-0.040534817,-0.020267408341169357
6itp72,-0.296,0.0,0.167,0.833,0.029357325,0.675577,0.29506567,-0.6462197,-0.47110983538627627
6iubil,-0.5423,0.0,0.171,0.829,0.025576122,0.345921,0.6285029,-0.3203449,-0.4313224475622177
